,artist_name,track_name,track_id,popularity
543,Juice WRLD,Juice WRLD Speaks,1fw2lym3kCvhxbIs8UQGHk,74
544,Eminem,Godzilla (feat. Juice WRLD),7FIWs0pqAYbP91WWM0vlTQ,86
545,Juice WRLD,Lucid Dreams,285pBltuF7vW8TeWk8hdRR,88
546,Juice WRLD,Juice WRLD Speaks From Heaven - Outro,1OjiYjgPZyxS0AiXiSnuYI,61
547,Juice WRLD,Wandered To LA (with Justin Bieber),5J6rTmMjF9DVIAF8G3M9n4,86
548,Juice WRLD,Robbery,6Hj9jySrnFppAI0sEMCZpJ,86
549,Juice WRLD,Burn,0QwKxajohg1rAMMmv1AWe1,83
550,Juice WRLD,Juice WRLD Speaks 2,2pumRJcJLkPPejrEvwLAlu,74
551,Juice WRLD,Already Dead,7qM1BWAsZMTYh4BcYLb0uQ,88
552,Juice WRLD,Wishing Well,2U5WueTLIK5WJLD7mvDODv,85
553,Juice WRLD,Juice WRLD Speaks,1fw2lym3kCvhxbIs8UQGHk,74
554,Eminem,Godzilla (feat. Juice WRLD),7FIWs0pqAYbP91WWM0vlTQ,86
555,Juice WRLD,Lucid Dreams,285pBltuF7vW8TeWk8hdRR,88
556,Juice WRLD,Juice WRLD Speaks From Heaven - Outro,1OjiYjgPZyxS0AiXiSnuYI,61
557,Juice WRLD,Wandered To LA (with Justin Bieber),5J6rTmMjF9DVIAF8G3M9n4,86
558,Juice WRLD,Robbery,6Hj9jySrnFppAI0sEMCZpJ,86
559,Juice WRLD,Burn,0QwKxajohg1rAMMmv1AWe1,83
560,Brenda Lee,Rockin' Around The Christmas Tree,2EjXfH91m7f8HiJN1yQg97,94
561,Brenda Lee,Silent Night,0FgRRFGfk9OwwbL1xaepiS,27
562,Brenda Lee,Rockin' Around the Christmas Tree,09OojFvtrM9YRzRjnXqJjA,75
563,Brenda Lee,Silent Night - Rerecorded Version,0tnrdzVFNxP7ihDCYkKFOV,23
564,Brenda Lee,Rockin' Around the Christmas Tree,6DZ0ut4MATfUe4YMsNOPHy,72
565,Brenda Lee,Jingle Bell Rock,0MKnGJzNdEqOscI6xu9R3m,66
566,Brenda Lee,Silent Night,12NdcmM8QnG6dWXW7hZ2XV,15
567,Brenda Lee,Rockin' Around The Christmas Tree - Single Version,73ntXYHaz545meJDF3AICU,1
568,Brenda Lee,A Marshmallow World,6Eh1XqjaOX2BVL0hVCnwb0,62
569,Brenda Lee,Silent Night - Re-Recorded Version,6fh0ZLnQw66CnuuaUzwc1P,2
570,Juice WRLD,Juice WRLD Speaks 2,2pumRJcJLkPPejrEvwLAlu,74
571,Juice WRLD,Already Dead,7qM1BWAsZMTYh4BcYLb0uQ,88
572,Juice WRLD,Wishing Well,2U5WueTLIK5WJLD7mvDODv,85
573,Juice WRLD,Juice WRLD Speaks,1fw2lym3kCvhxbIs8UQGHk,74
574,Eminem,Godzilla (feat. Juice WRLD),7FIWs0pqAYbP91WWM0vlTQ,86
575,Juice WRLD,Lucid Dreams,285pBltuF7vW8TeWk8hdRR,88
576,Juice WRLD,Juice WRLD Speaks From Heaven - Outro,1OjiYjgPZyxS0AiXiSnuYI,61
577,Juice WRLD,Wandered To LA (with Justin Bieber),5J6rTmMjF9DVIAF8G3M9n4,86
578,Juice WRLD,Robbery,6Hj9jySrnFppAI0sEMCZpJ,86
579,Juice WRLD,Burn,0QwKxajohg1rAMMmv1AWe1,83
580,Mariah Carey,All I Want for Christmas Is You,0bYg9bo50gSsH3LtXe2SQn,97
581,Mariah Carey,Vision of Love,0gLQ6jhJsyYfl7PrD1RZ7X,60
582,Mariah Carey,Christmas (Baby Please Come Home),3PIDciSFdrQxSQSihim3hN,86
583,Mariah Carey,Dreamlover,6HcQZfMrw3KwGyzrKw1Pjy,61
